reading file: data/clsp.lblnames
256 lines, done
reading file: data/clsp.trnlbls
798 lines, done
reading file: data/clsp.endpts
798 lines, done
reading file: data/clsp.trnscr
798 lines, done
reading file: data/clsp.devlbls
393 lines, done
---- echo: 0 ----
log_likelihood ==== -564019.6755373772 per_frame_log_likelihood === -5.281824933627169
 0.98021413 1.         0.99759523 0.82288193 0.96985156 0.62971606
 0.94121328 0.99999998 1.         0.99997416 0.99992502 0.92974678
 0.99985848 0.9980776  0.99892009 1.         1.         0.96104556
 0.89328676 1.         0.62801192 0.84890136 0.96874291 0.99937545
 0.7065541  1.         0.91571487 0.99940482 0.82647842 0.99831521
 0.99992732 0.98749201 0.81914186 0.9747436  0.85438493 0.99097173
 1.         0.99898694 0.99999155 0.99999454 0.99471328 0.88825685
 0.99999999 0.99998269 0.99999967 0.99990675 0.99999998 0.96226039
 0.70059314 0.83902382 0.99496412 0.99999991 0.99975093 0.99999987
 0.9997273  0.99743104 0.92146253 0.99506868 0.90008602 0.90034405
 0.92633386 0.75640799 0.93392    0.70465023 0.79234346 0.72757095
 1.         0.99996347 0.99999622 0.9239011  0.94069176 0.9742556
 0.9300743  1.         0.9296421  0.71568358 0.99970418 0.99932412
 0.99988525 0.68716479 0.34655909 0.91418463 0.90754939 1.
 0.99835479 0.9985785  0.97194818 0.97302835 0.99999982 0.99994146
 0.77219472 0.99904983 0.99999957 0.99632315 0.82013686 0.73130802
 0.98967251 0.98904214 1.         0.99883415 0.99999773 0.9992935
 0.99211271 0.97853149 0.9999968  1.         0.99996885 0.9999891
 0.76765759 0.6496681  0.99999966 0.99997644 0.7846252  0.99842829
 0.95544803 0.61547691 1.         0.99988507 0.99999999 0.83722248
 0.64315047 0.98664271 0.99992009 0.99007825 0.99995064 0.43953945
 0.94142292 0.96871593 0.99997067 0.91749855 0.99092346 0.90677455
 0.99999818 0.99996839 0.99777551 0.2988677  0.99852415 0.99999683
 1.         0.61018564 0.65438727 0.98176807 0.66253684 1.
 0.99997261 1.         0.98991288 0.90995573 0.63382672 0.83475194
 0.94901842 0.99999537 0.94829235 0.95628884 0.76138113 0.95239126
 0.52022367 0.9791463  0.2445034  0.79546239 0.98808208 0.99999834
 0.68105897 0.94221522 0.9763477  0.98462204 0.92462897 0.42592035
 0.99466591 0.91486355 0.91438932 0.98420974 0.61712967 0.93874545
 0.93701853 0.7992088  0.98175854 0.99694193 0.92645482 0.80977475
 0.90602367 1.         0.99999999 0.62901933 0.61267364 0.71328395
 0.99971168 0.94692368 0.56437313 0.80148288 0.99999904 0.96068185
 0.83903784 0.90601152 0.99999858 0.54830595 0.9980613  0.9993454
 0.91044284 0.99934371 0.99895198 0.99919971 0.99999988 1.
 0.99991784 0.38012631 0.99300406 0.99997349 0.99076438 0.41815633
 0.61358718 1.         0.99994205 0.99999988 0.99371597 0.97002507
 0.99999934 0.99559978 0.96344231 0.62809824 0.97088779 0.73504871
 0.99915569 0.97039619 0.99641892 0.99959971 0.99926237 0.80750792
 0.99977794 0.99999874 0.95496887 0.44491044 0.99999833 0.67370864
 0.99070005 1.         0.93106405 0.99674614 0.98068827 0.97565915
 0.9585202  1.         0.82341777 0.97055016 0.79440484 0.99978709
 0.70372027 0.98237046 0.99998531 0.95954377 1.         0.93167359
 0.9999998  1.         0.7877945  0.99945636 0.99999999 0.99999229
 0.59611395 0.99903649 0.9999993  0.66809845 0.82332998 0.91677495
 0.99995102 0.99655196 0.87694134 0.99389517 0.52625774 0.530584
 0.99759515 0.92970704 1.         0.99760172 0.98360535 0.99985068
 0.91330608 0.99639909 0.98580521 0.8802618  1.         0.99613332
 0.80085638 0.84459025 0.57084495 0.91230186 0.99989587 0.96304324
 0.92849808 0.99999922 0.57710081 0.60909949 0.99999998 0.99099821
 0.98488716 0.38355375 0.53240277 0.99904032 0.98667492 1.
 0.87573852 0.79991396 0.87745724 0.99999991 0.99377182 0.72590003
 0.66745907 0.96609781 0.9035253  1.         0.99999998 1.
 0.88843165 1.         0.89852243 0.99362947 0.89544846 0.95373952
 0.93485928 0.99900446 0.9965829  0.88190571 0.99999993 0.99518862
 0.9261001  0.82420607 0.95937162 0.99980476 0.98668741 0.99999713
 0.84654078 0.99997502 0.99407753 0.95926592 0.99999715 0.76582452
 1.         1.         0.88930869 0.81805107 0.55122281 1.
 1.         0.68900999 1.        ]
---- echo: 1 ----
log_likelihood ==== -480113.8098410683 per_frame_log_likelihood === -4.496079129475753
Saved to: data/1.mdl.pkl
Predicted Words:  ['eating', 'become', 'also', 'around', 'problem', 'enough', 'along', 'over', 'very', 'always', 'always', 'along', 'always', 'money', 'always', 'always', 'never', 'nothing', 'also', 'after', 'become', 'another', 'problem', 'over', 'morning', 'carry', 'around', 'many', 'brother', 'another', 'about', 'water', 'often', 'nothing', 'shellfish', 'money', 'sometimes', 'sometimes', 'very', 'several', 'morning', 'oily', 'dinner', 'forces', 'study', 'oily', 'over', 'before', 'people', 'carry', 'only', 'even', 'only', 'about', 'without', 'water', 'carry', 'oily', 'over', 'oily', 'many', 'before', 'before', 'shellfish', 'forces', 'money', 'people', 'greasy', 'before', 'every', 'very', 'people', 'government', 'problem', 'even', 'also', 'every', 'away', 'also', 'another', 'very', 'dinner', 'sometimes', 'water', 'carry', 'water', 'morning', 'about', 'around', 'people', 'children', 'become', 'also', 'never', 'also', 'money', 'only', 'over', 'many', 'problem', 'brother', 'about', 'children', 'many', 'money', 'other', 'away', 'oily', 'many', 'oily', 'oily', 'without', 'brother', 'money', 'problem', 'often', 'about', 'dinner', 'many', 'water', 'oily', 'study', 'shellfish', 'always', 'never', 'about', 'along', 'other', 'never', 'oily', 'very', 'carry', 'away', 'many', 'sometimes', 'problem', 'become', 'about', 'without', 'after', 'around', 'people', 'before', 'even', 'always', 'oily', 'carry', 'away', 'greasy', 'eating', 'into', 'very', 'several', 'shellfish', 'over', 'many', 'also', 'other', 'about', 'without', 'water', 'never', 'order', 'along', 'carry', 'open', 'about', 'oily', 'enough', 'very', 'brother', 'without', 'water', 'often', 'sometimes', 'very', 'forces', 'only', 'many', 'along', 'nothing', 'along', 'many', 'morning', 'many', 'often', 'table', 'very', 'oily', 'other', 'after', 'carry', 'open', 'shellfish', 'another', 'order', 'become', 'along', 'never', 'never', 'carry', 'only', 'oily', 'greasy', 'around', 'without', 'government', 'money', 'after', 'water', 'over', 'enough', 'oily', 'money', 'greasy', 'eating', 'after', 'often', 'greasy', 'sometimes', 'many', 'water', 'before', 'very', 'very', 'many', 'sometimes', 'into', 'money', 'shellfish', 'system', 'always', 'into', 'never', 'several', 'many', 'after', 'after', 'system', 'money', 'another', 'along', 'around', 'water', 'many', 'often', 'carry', 'away', 'oily', 'eating', 'brother', 'sometimes', 'greasy', 'enough', 'open', 'people', 'never', 'order', 'often', 'enjoy', 'often', 'before', 'oily', 'another', 'children', 'about', 'very', 'shellfish', 'sometimes', 'greasy', 'government', 'very', 'never', 'also', 'problem', 'often', 'problem', 'about', 'many', 'another', 'study', 'always', 'people', 'study', 'after', 'about', 'after', 'along', 'very', 'children', 'after', 'dinner', 'often', 'enough', 'greasy', 'along', 'order', 'very', 'children', 'very', 'oily', 'enjoy', 'always', 'before', 'morning', 'open', 'only', 'water', 'table', 'over', 'along', 'another', 'many', 'oily', 'money', 'another', 'people', 'along', 'enough', 'oily', 'carry', 'morning', 'always', 'extra', 'government', 'extra', 'without', 'water', 'carry', 'nothing', 'before', 'every', 'only', 'along', 'open', 'before', 'very', 'without', 'often', 'always', 'forces', 'after', 'very', 'along', 'over', 'table', 'many', 'children', 'allow', 'about', 'very', 'forces', 'after', 'oily', 'even', 'away', 'always', 'study', 'system', 'children', 'over', 'carry', 'money', 'oily', 'even', 'oily', 'often', 'many', 'also', 'allow', 'children', 'also', 'oily', 'many', 'very', 'without', 'many', 'people', 'eating', 'into', 'never', 'about', 'become', 'away', 'system', 'enjoy', 'other', 'extra', 'before', 'enjoy', 'shellfish', 'after', 'greasy']
Confidence:  [0.69221655 1.         1.         1.         1.         0.99435886
 0.89139123 0.99999956 0.90085201 0.99999966 0.99988843 0.99978744
 0.99994689 0.99880718 0.9300275  0.55050667 1.         1.
 0.99999605 0.99974549 0.78429346 0.99585816 0.99996314 1.
 1.         1.         0.99995847 0.99747608 0.9999991  0.99995617
 1.         1.         0.99172392 1.         0.99999987 0.99959472
 0.99999362 0.99999961 0.86316055 1.         1.         0.99999883
 0.999207   1.         1.         0.99607601 0.62470678 0.99998905
 1.         1.         0.99999917 0.99668683 0.98792548 0.84446238
 0.99999998 1.         1.         1.         0.99999989 0.93170183
 0.99999982 1.         1.         1.         1.         0.99816158
 0.99999986 1.         1.         0.95687459 0.98049188 1.
 1.         1.         0.99997889 1.         0.92788826 0.99995738
 0.99999996 0.5111831  0.85057022 0.99999996 0.9999952  1.
 1.         0.92863314 1.         1.         1.         0.9995922
 1.         1.         1.         0.99999999 1.         0.9999678
 0.9936409  0.9968056  0.99583565 1.         1.         1.
 0.99920294 0.99995487 0.68289678 0.99987536 0.9989792  0.60028362
 0.8587788  0.91762102 0.78841522 0.99116863 1.         0.99963933
 1.         0.99999411 1.         0.95953233 0.99187959 0.99999925
 0.77018559 1.         0.99999998 0.99633238 1.         0.99999998
 0.99999988 0.99081218 0.99996923 0.87638745 0.81049342 1.
 0.99995388 0.99955054 1.         0.94365704 1.         1.
 0.99907981 1.         1.         0.99998978 0.9992866  0.74319956
 0.99999964 0.80679509 1.         0.99993965 1.         0.98849261
 0.99999728 0.93957311 1.         1.         1.         0.99999999
 0.82083401 0.95473131 1.         1.         0.99999991 1.
 0.99999981 0.50802501 1.         0.99999911 1.         0.69108206
 0.66590263 0.93235549 1.         0.99999998 1.         0.99666233
 0.99993378 0.99357341 0.99855187 0.94239513 0.99611013 0.97729816
 1.         1.         0.99978147 0.99281079 0.9993562  1.
 1.         0.96402422 0.93474893 0.99956116 0.99865766 1.
 0.99999912 1.         1.         0.99999617 1.         0.99900295
 0.99997511 1.         0.97584613 0.79802491 0.97271087 1.
 0.88921067 0.99998919 0.999973   0.82103135 0.99202398 1.
 0.69305101 0.67372988 0.513986   0.84628631 1.         0.99999437
 0.99999649 0.99899473 1.         0.97493834 0.9995203  1.
 0.81721819 0.79873783 0.9771379  0.99971665 1.         0.99614565
 0.56792041 1.         0.65955319 0.99999481 0.99999959 0.9999997
 0.99998101 0.98787601 0.9996161  0.99996632 1.         0.99171144
 0.99999428 0.73827641 1.         0.38811606 0.99979435 0.99989325
 0.99153133 0.99999504 0.88901558 1.         1.         1.
 1.         0.99999999 0.99999639 1.         0.99999999 0.83808203
 0.97880246 1.         1.         1.         0.99931828 1.
 1.         0.99999493 0.91481922 0.61761955 0.99991212 1.
 1.         0.98205263 1.         1.         1.         0.87247869
 1.         1.         0.99994182 0.99084014 0.99999998 0.57548269
 0.91617218 1.         0.99997783 0.99912795 0.99997139 0.99996532
 0.89739458 1.         0.99999982 0.96739985 0.98264391 1.
 1.         0.99727524 1.         0.79815652 1.         0.99120907
 1.         1.         0.99999875 1.         1.         1.
 0.47270393 0.99985124 1.         0.99146119 0.86697304 0.99993718
 0.99999994 0.99999525 0.99866622 0.98943979 0.99909874 0.92886325
 1.         0.8988099  1.         0.98926014 0.99999907 0.99997782
 0.99442    0.99793783 0.99999971 0.57245828 1.         1.
 0.99977739 0.77784286 0.87721459 0.9999833  0.99999996 0.88382629
 0.75791149 1.         0.84854614 0.99998339 1.         0.99997099
 0.97606573 0.74125065 0.73365875 0.99999993 0.95330919 1.
 0.9924438  0.70773739 0.54461687 1.         1.         0.69196654
 0.91163508 0.99954986 0.99999976 0.99999196 1.         1.
 0.92851678 1.         0.99980915 0.99693999 0.9739005  0.99699464
 0.99996068 0.99978093 1.         0.77905128 1.         1.
 0.67685053 0.99460861 0.95360778 1.         0.99904702 1.
 0.99999539 1.         1.         0.70996887 1.         0.97720898
 1.         1.         0.79373021 0.99961269 0.89054448 1.
 1.         0.99914412 1.        ]
---- echo: 2 ----
log_likelihood ==== -440516.0661481948 per_frame_log_likelihood === -4.1252616579874966
Saved to: data/2.mdl.pkl
Predicted Words:  ['eating', 'become', 'also', 'around', 'problem', 'enough', 'people', 'over', 'very', 'always', 'shellfish', 'along', 'always', 'money', 'always', 'only', 'never', 'nothing', 'also', 'after', 'around', 'another', 'problem', 'over', 'morning', 'carry', 'around', 'eating', 'brother', 'another', 'about', 'water', 'often', 'nothing', 'shellfish', 'money', 'sometimes', 'greasy', 'every', 'several', 'morning', 'oily', 'dinner', 'forces', 'study', 'without', 'over', 'before', 'people', 'carry', 'only', 'even', 'only', 'over', 'without', 'water', 'carry', 'oily', 'over', 'oily', 'many', 'before', 'before', 'shellfish', 'forces', 'money', 'people', 'greasy', 'before', 'every', 'very', 'people', 'government', 'problem', 'government', 'also', 'every', 'away', 'also', 'another', 'very', 'dinner', 'greasy', 'water', 'carry', 'water', 'morning', 'about', 'around', 'people', 'children', 'become', 'also', 'never', 'also', 'money', 'only', 'over', 'many', 'problem', 'brother', 'about', 'children', 'many', 'money', 'other', 'away', 'oily', 'money', 'oily', 'oily', 'without', 'brother', 'money', 'problem', 'often', 'about', 'dinner', 'many', 'water', 'only', 'study', 'shellfish', 'always', 'never', 'about', 'along', 'order', 'never', 'allow', 'very', 'carry', 'away', 'many', 'sometimes', 'problem', 'become', 'about', 'without', 'after', 'around', 'people', 'before', 'even', 'always', 'oily', 'carry', 'away', 'greasy', 'eating', 'into', 'very', 'several', 'shellfish', 'over', 'many', 'become', 'other', 'about', 'without', 'water', 'never', 'order', 'only', 'carry', 'open', 'about', 'oily', 'enough', 'very', 'brother', 'without', 'water', 'often', 'sometimes', 'very', 'sometimes', 'only', 'money', 'along', 'nothing', 'along', 'many', 'morning', 'many', 'often', 'table', 'very', 'oily', 'other', 'after', 'carry', 'open', 'shellfish', 'another', 'order', 'become', 'along', 'never', 'never', 'greasy', 'oily', 'money', 'greasy', 'often', 'without', 'government', 'many', 'after', 'water', 'over', 'enough', 'only', 'only', 'greasy', 'eating', 'after', 'often', 'greasy', 'system', 'many', 'water', 'before', 'very', 'very', 'many', 'sometimes', 'into', 'sometimes', 'shellfish', 'sometimes', 'always', 'into', 'never', 'several', 'many', 'after', 'after', 'system', 'money', 'another', 'oily', 'around', 'water', 'many', 'often', 'greasy', 'away', 'people', 'eating', 'brother', 'sometimes', 'greasy', 'enough', 'open', 'people', 'never', 'order', 'often', 'enjoy', 'often', 'before', 'oily', 'another', 'children', 'about', 'very', 'always', 'greasy', 'greasy', 'government', 'very', 'never', 'also', 'problem', 'often', 'problem', 'about', 'many', 'nothing', 'study', 'also', 'open', 'study', 'after', 'about', 'after', 'along', 'very', 'children', 'after', 'dinner', 'often', 'enough', 'greasy', 'problem', 'order', 'every', 'children', 'very', 'oily', 'enjoy', 'always', 'before', 'morning', 'open', 'only', 'water', 'table', 'over', 'about', 'another', 'many', 'oily', 'money', 'another', 'people', 'along', 'enough', 'oily', 'carry', 'morning', 'always', 'extra', 'government', 'extra', 'without', 'water', 'carry', 'nothing', 'before', 'very', 'only', 'along', 'open', 'before', 'very', 'without', 'often', 'always', 'forces', 'after', 'very', 'only', 'over', 'table', 'many', 'children', 'allow', 'about', 'every', 'forces', 'after', 'only', 'even', 'away', 'always', 'carry', 'system', 'children', 'over', 'carry', 'money', 'oily', 'even', 'oily', 'often', 'many', 'also', 'allow', 'children', 'also', 'along', 'many', 'very', 'without', 'many', 'people', 'eating', 'into', 'never', 'before', 'become', 'oily', 'system', 'enjoy', 'other', 'extra', 'before', 'enjoy', 'shellfish', 'after', 'greasy']
Confidence:  [0.74558189 1.         1.         1.         1.         0.99993274
 0.99803854 1.         0.8882109  0.95513126 0.75809487 0.9874567
 0.99999881 0.99957326 0.99317711 0.50232122 1.         1.
 0.99999993 0.99914377 0.9999634  1.         0.99998243 1.
 1.         1.         0.99979886 0.96151913 0.99999965 0.99994204
 1.         1.         0.99993581 1.         0.98102979 0.99996037
 0.99753236 0.99999821 0.68362086 1.         1.         0.99999816
 0.99968422 1.         0.99999989 0.73839031 0.83701079 0.99999994
 1.         1.         0.99999839 0.99999204 0.98939105 0.98005418
 1.         1.         1.         1.         1.         0.85673114
 0.99999996 1.         1.         1.         1.         0.99998152
 0.99998088 1.         1.         0.93264669 0.99090458 1.
 1.         1.         1.         1.         0.99993773 0.9999403
 1.         0.9999998  0.67279785 1.         0.99997206 1.
 1.         0.71497035 1.         0.99999999 1.         0.9999979
 1.         1.         1.         1.         1.         0.99999862
 0.99522769 0.99098045 0.98930042 1.         1.         1.
 0.99972768 0.99999698 0.94624384 0.99999134 0.9966594  0.79806642
 0.72637126 0.74889436 0.69520954 0.99999793 1.         0.99994144
 1.         0.99996867 1.         0.93094134 0.99999997 0.99999999
 0.93474049 1.         0.99999995 0.99977443 1.         1.
 0.99999972 0.98722994 1.         0.97688128 0.93776007 1.
 0.99991355 0.99864597 1.         0.9403541  1.         1.
 0.99999651 1.         1.         0.99966809 0.99986666 0.88820614
 1.         0.92060399 0.99991376 0.99980132 1.         1.
 0.9999998  0.92228568 1.         1.         1.         0.99999992
 0.71438557 0.99962325 1.         1.         1.         1.
 0.99999988 0.89038987 1.         0.9626319  1.         0.65989286
 0.63912477 0.97502109 1.         1.         1.         0.99993553
 0.99999998 0.99094721 0.99976023 0.92801839 0.95714847 0.99964169
 1.         1.         0.99983823 0.99999006 0.99868763 1.
 1.         0.9657254  0.95413298 0.9999902  0.99829508 1.
 0.99999616 1.         1.         0.99999981 1.         0.99936821
 0.99999794 1.         0.99984212 0.73657427 0.99997773 1.
 0.98494668 0.99998609 1.         0.9850859  0.82457239 1.
 0.99675029 0.99979446 0.99070096 0.91907792 1.         1.
 0.99999894 0.99999803 1.         0.57014219 0.76068112 1.
 0.97658637 0.98676861 0.97148984 0.99985839 1.         0.99960482
 0.99992186 1.         0.57566367 0.99999689 0.99999927 1.
 0.99994823 0.9916616  0.99994796 1.         1.         0.94773457
 1.         0.56653143 1.         0.99999861 0.99987811 0.99974028
 0.93917652 0.99999427 0.99942719 1.         1.         1.
 1.         1.         0.99990519 1.         1.         0.93804573
 0.99375542 1.         1.         1.         0.99982614 1.
 1.         0.99999988 0.75929586 0.98833602 0.99971986 1.
 1.         0.97503355 1.         1.         0.95603078 0.99968149
 1.         1.         0.99999989 0.35124424 0.99999901 0.6430474
 0.61428839 1.         0.99999992 0.99998271 0.9999914  0.99983706
 0.86432281 1.         0.99999995 0.99977373 0.99875543 1.
 1.         0.94891223 1.         0.65898613 1.         0.98360228
 1.         1.         0.99999945 1.         1.         0.99999999
 0.89455319 0.99999938 1.         0.99998589 0.99702678 0.99650928
 1.         0.99999985 0.99673209 0.99934237 0.99999995 0.68406794
 1.         0.97985772 1.         0.99999741 0.99999768 0.99999815
 1.         0.50303895 0.99999992 0.80103307 1.         1.
 0.99999979 0.54103868 0.96175221 0.99997798 0.99999975 1.
 0.60520449 1.         0.95818084 0.99999999 1.         0.99999993
 0.960054   0.38198452 0.99598008 1.         0.90452415 1.
 0.99997846 0.88270208 0.98115408 1.         1.         0.62461895
 0.9773545  0.9993991  0.99999141 0.9061159  1.         1.
 0.96111412 1.         0.99992646 0.97752898 0.99998991 0.97522326
 0.99999991 0.99938324 1.         0.59628333 1.         1.
 0.58582301 0.99761857 0.988107   1.         0.96915788 1.
 1.         1.         1.         0.51270126 1.         0.87866248
 1.         1.         0.80019482 0.99999967 0.99999679 1.
 1.         0.99999194 1.        ]
---- echo: 3 ----
log_likelihood ==== -424812.33113377227 per_frame_log_likelihood === -3.9782022862178423
Saved to: data/3.mdl.pkl
Predicted Words:  ['eating', 'become', 'without', 'around', 'problem', 'enough', 'people', 'over', 'very', 'also', 'oily', 'morning', 'always', 'money', 'always', 'only', 'never', 'nothing', 'also', 'after', 'around', 'another', 'problem', 'over', 'morning', 'carry', 'around', 'eating', 'brother', 'another', 'about', 'water', 'often', 'nothing', 'shellfish', 'money', 'system', 'greasy', 'every', 'several', 'morning', 'oily', 'dinner', 'forces', 'study', 'without', 'over', 'before', 'people', 'carry', 'only', 'even', 'only', 'over', 'without', 'water', 'carry', 'oily', 'over', 'oily', 'many', 'before', 'before', 'shellfish', 'forces', 'money', 'people', 'greasy', 'before', 'every', 'very', 'people', 'government', 'problem', 'government', 'also', 'every', 'away', 'also', 'another', 'carry', 'dinner', 'sometimes', 'water', 'carry', 'water', 'morning', 'about', 'around', 'people', 'children', 'become', 'also', 'never', 'also', 'money', 'only', 'over', 'many', 'problem', 'brother', 'about', 'children', 'many', 'money', 'other', 'away', 'oily', 'money', 'only', 'oily', 'without', 'brother', 'money', 'problem', 'often', 'about', 'into', 'many', 'water', 'only', 'study', 'shellfish', 'always', 'never', 'about', 'along', 'order', 'never', 'allow', 'very', 'carry', 'away', 'many', 'sometimes', 'morning', 'become', 'about', 'without', 'after', 'around', 'before', 'before', 'even', 'always', 'oily', 'greasy', 'away', 'greasy', 'eating', 'into', 'very', 'several', 'shellfish', 'over', 'many', 'become', 'other', 'about', 'without', 'water', 'never', 'order', 'only', 'carry', 'people', 'about', 'only', 'enough', 'very', 'brother', 'without', 'water', 'often', 'sometimes', 'very', 'sometimes', 'only', 'money', 'along', 'nothing', 'along', 'many', 'morning', 'many', 'often', 'table', 'very', 'oily', 'other', 'after', 'carry', 'open', 'shellfish', 'another', 'order', 'become', 'along', 'never', 'never', 'greasy', 'oily', 'money', 'greasy', 'often', 'without', 'government', 'many', 'water', 'water', 'over', 'enough', 'only', 'money', 'greasy', 'eating', 'after', 'often', 'greasy', 'system', 'dinner', 'water', 'before', 'very', 'very', 'many', 'sometimes', 'into', 'sometimes', 'shellfish', 'system', 'always', 'into', 'never', 'several', 'many', 'after', 'after', 'system', 'money', 'another', 'only', 'around', 'water', 'many', 'often', 'money', 'away', 'people', 'eating', 'brother', 'sometimes', 'greasy', 'enough', 'open', 'people', 'never', 'order', 'often', 'away', 'often', 'before', 'oily', 'another', 'children', 'about', 'every', 'always', 'greasy', 'greasy', 'government', 'very', 'never', 'also', 'often', 'often', 'problem', 'about', 'many', 'money', 'study', 'also', 'open', 'study', 'after', 'about', 'after', 'along', 'very', 'children', 'after', 'dinner', 'often', 'enough', 'greasy', 'problem', 'order', 'every', 'children', 'very', 'oily', 'enjoy', 'always', 'before', 'morning', 'open', 'only', 'water', 'table', 'over', 'about', 'another', 'many', 'oily', 'money', 'another', 'people', 'over', 'enough', 'only', 'carry', 'morning', 'always', 'greasy', 'government', 'after', 'without', 'water', 'carry', 'nothing', 'before', 'very', 'only', 'along', 'open', 'before', 'very', 'without', 'over', 'always', 'forces', 'after', 'very', 'only', 'over', 'table', 'many', 'children', 'allow', 'about', 'every', 'forces', 'after', 'only', 'even', 'away', 'always', 'carry', 'system', 'children', 'over', 'carry', 'money', 'oily', 'even', 'oily', 'often', 'many', 'also', 'allow', 'children', 'also', 'along', 'many', 'very', 'without', 'money', 'people', 'eating', 'into', 'never', 'without', 'become', 'oily', 'system', 'enjoy', 'other', 'extra', 'before', 'enjoy', 'shellfish', 'after', 'greasy']
Confidence:  [0.88178534 1.         0.99999847 1.         1.         0.99999954
 0.99890573 1.         0.69747765 0.91489737 0.54527712 0.63099794
 0.99999995 0.99984815 0.99951382 0.96299324 1.         1.
 1.         0.85007427 0.96870715 1.         0.99999735 1.
 1.         1.         0.99981217 0.99970098 0.99999977 0.99999544
 1.         1.         0.99997625 1.         0.99999918 0.99983602
